Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field
6171,implantology,Noun,"The science of or techniques involved in dental implants. 2015 December 15, Antibacterial Peptide-Based Gel for Prevention of Medical Implanted-Device Infection, in PLOS ONE[1], DOI:10.1371/journal.pone.0145143:In oral implantology, bacteria are present in dental plaque and along with in the microgap between implant and prosthesis screws on implants.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
12191,infectiology,Noun,"The study of infection 2015 September 24, Individual Monitoring of Immune Response in Atlantic Salmon Salmo salar following Experimental Infection with Infectious Salmon Anaemia Virus (ISAV), in PLOS ONE[1], DOI:10.1371/journal.pone.0137767:We describe here a novel approach to infectiology for salmonid fish where blood samples are collected repeatedly in a small group of PIT-tagged animals.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
13095,information management,Noun,"the study of the acquisition of information from one or more sources, the custodianship and the distribution of that information to those who need it, and its ultimate disposition through archiving or deletion.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
13102,information retrieval,Noun,"The science of searching for information in documents, searching for documents themselves, searching for metadata which describe documents, or searching within databases, whether relational stand-alone databases or hypertextually-networked databases such as the World Wide Web.",information science,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
13105,information science,Noun,"A broad and interdisciplinary science that deals with the gathering, classification, storage, manipulation, retrieval and analysis of information as an organized resource.",applied science,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
13190,informetrics,Noun,The study of quantitative aspects of information,"mathematics, computing",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
13441,infrasonics,Noun,The study and the application of infrasound.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
15747,insectology,Noun,The scientific study of insects.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
17914,interactomics,Noun,The study of the interactions between proteins and other components of a cell,biochemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
18737,interdisciplinarity,Noun,Any academic or scientific study that draws on the expertise of more than one discipline.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
18974,interferomics,Noun,The study of interferomes,biochemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
19507,interlinguistics,Noun,"The study of international communication, focused especially on planned international auxiliary languages and having e.g. Esperanto and Interlingua as a chief applied product.",linguistics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
20042,international relations,Noun,"The study of relationships among countries, commonly abbreviated as IR.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
20887,intersectionalism,Noun,"The study of minorities within minorities, or intersections between minorities; specifically, the study of the interactions of multiple systems of oppression or discrimination.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
20895,intersectionality,Noun,"The study of (or a sociological methodology of studying) overlapping or intersecting social identities and related systems of oppression, domination, or discrimination. 1989, Kimberl [Williams] Crenshaw, Demarginalizing the Intersection of Race and Sex: A Black Feminist Critique of Antidiscrimination Doctrine, Feminist Theory and Antiracist Politics, in The University of Chicago Legal Forum[1], volume 139, archived from the original on 6 May 2016, page 141:One way to approach the problem of intersectionality is to examine how courts frame and interpret the stories of Black women plaintiffs. 2012, Kalwant Bhopal; John Preston, Introduction: Intersectionality and Race in Education: Theorising Difference, in Kalwant Bhopal and John Preston, editors, Intersectionality and Race in Education, New York, N.Y.; Abingdon, Oxon.: Routledge, ISBN, page 1:This book is about intersectionality and is particularly concerned with examining theorising intersectionalities and difference. In recent years, the concept of intersectionality has taken centre stage and has become a dominant model with which to engage in how differences such as race, gender, class, sexuality, age, disability and religion interweave and intersect upon individual lives in a modern risk society[]. 2016, Patricia Hill Collins; Sirma Bilge, What is Intersectionality?, in Intersectionality (Key Concepts), Cambridge; Malden, Mass.: Polity Press, ISBN:Intersectionality is a way of understanding and analyzing the complexity in the world, in people, and in human experiences. The events and conditions of social and political life and the self can seldom be understood as shaped by one factor. They are generally shaped by many factors in diverse and mutually influencing ways. [] Intersectionality as an analytic tool gives people better access to the complexity of the world and of themselves.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
22129,intracrinology,Noun,The study of intracrine hormones and their related disorders,physiology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
24818,ionics,Noun,The study of ionic conductors.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
24866,ionomics,Noun,The study of ionomes,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
26823,isoenzymology,Noun,The study of isoenzymes,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
27374,isoperimetry,Noun,The study of isoperimetric structures.,mathematics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
27403,isophotometry,Noun,"The study, measurement or construction of isophotes",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
27807,isotopic chemistry,Noun,"The study of the effects of isotopic substitution on chemical compounds, especially on the kinetics of their reactions.",chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
27816,isotopics,Noun,"The study of isotopes, especially stable isotopes.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
292,dactylography,Noun,The science of using fingerprints to uniquely identify people.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
293,dactylography,Noun,The study of finger rings.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2705,data visualization,Noun,The science of the visual representation of data,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
5399,deathlore,Noun,"The study of human aspects of death and the associated grief and rituals; thanatology. 1903, The Gentleman's Magazine, Volume 1, page 554: Enough has been said to show the interest which lies in the study of Bushman folklore in general and the deathlore of the veld in particular. 1975, William Lynwood Montell, Ghosts Along the Cumberland: Deathlore in the Kentucky Foothills 2011, Folklore: An Encyclopedia of Beliefs, Customs, Tales, Music, and Art, page 363: A few examples of material objects included in deathlore are: tombstones, roadside memorials, coffins, and cemeteries.",psychology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
10781,degradomics,Noun,the study of all the compounds produced in the degradation of a material (especially of a protease),biochemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
