Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field,disease
12543,ornithosis,Noun,"A zoonotic infectious disease (of birds) caused by a bacterium called Chlamydia psittaci, it can be transmitted to humans and other animals. When carried by any species of bird belonging to the Psittacidae family (parrots), it is called psittacosis or parrot fever.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
12712,orphan disease,Noun,Any disease for which drugs are not usually developed because it is too rare to make the development profitable.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14148,osteoarthropathy,Noun,Any disease of a joint between bones,medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14161,osteoblastosis,Noun,A disease associated with osteoblasts,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14192,osteochondropathy,Noun,Any disease of bone and cartilage,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14276,osteogenesis imperfecta,Noun,"A hereditary disease characterized by brittle bones that easily fracture. Synonyms: brittle bone disease, glass bone disease (colloquial), OI",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14456,osteoporosis,Noun,"A disease, occurring especially in women following menopause, in which the bones become extremely porous and are subject to fracture.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14982,otopathy,Noun,Any disease of the ear,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
24495,ovopathy,Noun,disease of the ovum,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
9432,wheat mildew,Noun,A disease that affects the ears of wheat.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
10580,whirling disease,Noun,"A disease of salmonid fish, caused by the myxosporean parasite Myxobolus cerebralis and characterised by awkward, corkscrew-like swimming motions.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
11418,white rot,Noun,"A disease of grapes, first appearing in whitish pustules on the fruit, caused by the fungus Coniothyrium diplodiella.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
11420,white rust,Noun,A disease of some plants caused by the pathogen Albugo candida,phytopathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
11478,white swelling,Noun,"A disease of the joints, especially the knee, in which the synovial membrane undergoes pulpy degeneration.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
12251,whooping cough,Noun,"A contagious disease of the respiratory system that usually affects children caused by the bacterium Bordetella pertussis, the advanced stage of which is characterised by spasms of coughing followed by a whooping sound during the intake of breath.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
